code,description,severity,affected_system,symptoms,impact,recommendation
P0143,O2 Sensor Circuit Malfunction (Bank 1 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0144,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0145,O2 Sensor Circuit High Voltage (Bank 1 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0146,O2 Sensor Circuit Slow Response (Bank 1 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0147,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0150,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0151,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0152,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0153,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0154,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0155,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0156,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0157,O2 Sensor Circuit Malfunction (Bank 2 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0158,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0159,O2 Sensor Circuit High Voltage (Bank 2 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0160,O2 Sensor Circuit Slow Response (Bank 2 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0161,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0162,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0163,O2 Sensor Circuit Malfunction (Bank 2 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0164,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0165,O2 Sensor Circuit High Voltage (Bank 2 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Failed emissions test"", ""Starting problems""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0166,O2 Sensor Circuit Slow Response (Bank 2 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0167,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0170,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Failed emissions test""]",Poor fuel economy and increased emissions,Schedule service within 1-2 weeks; monitor vehicle behavior
P0171,System Too Lean (Bank 1),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Hesitation"", ""Possible engine stumble""]",Risk of engine damage from overheating and detonation,Schedule service within 1-2 weeks; monitor vehicle behavior
P0172,System Too Rich (Bank 1),Medium,Fuel & Emission,"[""Black smoke from exhaust"", ""Poor fuel economy"", ""Rough idle""]","Increased emissions, poor fuel economy, possible catalytic damage",Schedule service within 1-2 weeks; monitor vehicle behavior
P0173,Fuel Trim too Rich (Bank 1),Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0174,System Too Lean (Bank 2),Medium,Fuel & Emission,"[""Poor fuel economy"", ""Hesitation"", ""Possible engine stumble""]",Risk of engine damage from overheating and detonation,Schedule service within 1-2 weeks; monitor vehicle behavior
P0175,System Too Rich (Bank 2),Medium,Fuel & Emission,"[""Black smoke from exhaust"", ""Poor fuel economy"", ""Rough idle""]","Increased emissions, poor fuel economy, possible catalytic damage",Schedule service within 1-2 weeks; monitor vehicle behavior
P0176,Fuel Trim too Rich (Bank 2),Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0177,Fuel Composition Sensor Circuit Malfunction,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0178,Fuel Composition Sensor Circuit Range/Performance,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0179,Fuel Composition Sensor Circuit Low Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0180,Fuel Composition Sensor Circuit High Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0181,Fuel Temperature Sensor A Circuit Malfunction,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0182,Fuel Temperature Sensor A Circuit Range/Performance,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0183,Fuel Temperature Sensor A Circuit Low Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0184,Fuel Temperature Sensor A Circuit High Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0185,Fuel Temperature Sensor A Circuit Intermittent,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0186,Fuel Temperature Sensor B Circuit Malfunction,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0187,Fuel Temperature Sensor B Circuit Range/Performance,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0188,Fuel Temperature Sensor B Circuit Low Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0189,Fuel Temperature Sensor B Circuit High Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0190,Fuel Temperature Sensor B Circuit Intermittent,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0191,Fuel Rail Pressure Sensor Circuit Malfunction,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0192,Fuel Rail Pressure Sensor Circuit Range/Performance,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0193,Fuel Rail Pressure Sensor Circuit Low Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0194,Fuel Rail Pressure Sensor Circuit High Input,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0195,Fuel Rail Pressure Sensor Circuit Intermittent,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0196,Engine Oil Temperature Sensor Malfunction,Low,Cooling System,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0197,Engine Oil Temperature Sensor Range/Performance,Low,Cooling System,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0198,Engine Oil Temperature Sensor Low,Low,Cooling System,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0199,Engine Oil Temperature Sensor High,Low,Cooling System,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0200,Engine Oil Temperature Sensor Intermittent,Low,Cooling System,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0201,Injector Circuit Malfunction,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0202,Injector Circuit Malfunction - Cylinder 1,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0203,Injector Circuit Malfunction - Cylinder 2,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0204,Injector Circuit Malfunction - Cylinder 3,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0205,Injector Circuit Malfunction - Cylinder 4,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0206,Injector Circuit Malfunction - Cylinder 5,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0207,Injector Circuit Malfunction - Cylinder 6,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0208,Injector Circuit Malfunction - Cylinder 7,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0209,Injector Circuit Malfunction - Cylinder 8,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0210,Injector Circuit Malfunction - Cylinder 9,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0211,Injector Circuit Malfunction - Cylinder 10,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0212,Injector Circuit Malfunction - Cylinder 11,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0213,Injector Circuit Malfunction - Cylinder 12,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0214,Cold Start Injector 1 Malfunction,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0215,Cold Start Injector 2 Malfunction,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0216,Engine Shutoff Solenoid Malfunction,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0217,Engine Coolant Over Temperature Condition,Critical,Fuel & Emission,"[""Temperature gauge high"", ""Engine overheating"", ""Steam from hood""]",Severe risk of engine damage — immediate attention required,Stop driving immediately and seek emergency repair
P0218,Transmission Over Temperature Condition,Critical,Sensor/Circuit,"[""Temperature gauge high"", ""Engine overheating"", ""Steam from hood""]",Severe risk of engine damage — immediate attention required,Stop driving immediately and seek emergency repair
P0219,Engine Over Speed Condition,Critical,Transmission,"[""Check Engine Light on"", ""Possible reduced performance""]",Reduced performance and possible secondary system impact,Stop driving immediately and seek emergency repair
P0220,Engine Overspeed Condition,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0221,Throttle/Petal Position Sensor/Switch B Circuit Malfunction,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0222,Throttle/Petal Position Sensor/Switch B Circuit Range/Performance Problem,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0223,Throttle/Petal Position Sensor/Switch B Circuit Low Input,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0224,Throttle/Petal Position Sensor/Switch B Circuit High Input,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0225,Throttle/Petal Position Sensor/Switch B Circuit Intermittent,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0226,Throttle/Petal Position Sensor/Switch C Circuit Malfunction,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0227,Throttle/Petal Position Sensor/Switch C Circuit Range/Performance Problem,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0228,Throttle/Petal Position Sensor/Switch C Circuit Low Input,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0229,Throttle/Petal Position Sensor/Switch C Circuit High Input,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0230,Throttle/Petal Position Sensor/Switch C Circuit Intermittent,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0231,Fuel Pump Primary Circuit Malfunction,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0232,Fuel Pump Secondary Circuit Low,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0233,Fuel Pump Secondary Circuit High,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0234,Fuel Pump Secondary Circuit Intermittent,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0235,Engine Overboost Condition,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P0236,Turbocharger Boost Sensor A Circuit Malfunction,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
